Product_ID,CurrencyKey,UnitCost,ExchangeRate,CNY,SCD_EffectiveDate
101010101001,23,45.6126,6.63,302.411538,01-10-2014
101010101002,23,45.6126,6.63,302.411538,01-10-2014
101010101003,23,50.9869,6.63,338.043147,01-10-2014
101010101004,23,75.7914,6.63,502.496982,01-10-2014
101010101005,23,75.7914,6.63,502.496982,01-10-2014
101010101006,23,75.7914,6.63,502.496982,01-10-2014
101010101007,23,75.7914,6.63,502.496982,01-10-2014
101010101008,23,210.7001,6.63,1396.941663,01-10-2014
101010101009,23,210.7001,6.63,1396.941663,01-10-2014
101010101010,23,210.7001,6.63,1396.941663,01-10-2014
101010101011,23,210.7001,6.63,1396.941663,01-10-2014
101010101012,23,246.1154,6.63,1631.745102,01-10-2014
101010101013,23,246.1154,6.63,1631.745102,01-10-2014
101010101014,23,246.1154,6.63,1631.745102,01-10-2014
101010101015,23,246.1154,6.63,1631.745102,01-10-2014
101010101016,23,335.9233,6.63,2227.171479,01-10-2014
101010101017,23,335.9233,6.63,2227.171479,01-10-2014
101010101018,23,335.9233,6.63,2227.171479,01-10-2014
101010101019,23,335.9233,6.63,2227.171479,01-10-2014
101010101020,23,409.4065,6.63,2714.365095,01-10-2014
101010101021,23,409.4065,6.63,2714.365095,01-10-2014
101010101022,23,409.4065,6.63,2714.365095,01-10-2014
101010101023,23,409.4065,6.63,2714.365095,01-10-2014
101010101024,23,582.5105,6.63,3862.044615,01-10-2014
101010101025,23,582.5105,6.63,3862.044615,01-10-2014
101010101026,23,582.5105,6.63,3862.044615,01-10-2014
101010101027,23,582.5105,6.63,3862.044615,01-10-2014
101010101028,23,582.5105,6.63,3862.044615,01-10-2014
101010101029,23,561.356,6.63,3721.79028,01-10-2014
101010101030,23,561.356,6.63,3721.79028,01-10-2014
101010101031,23,561.356,6.63,3721.79028,01-10-2014
101010101032,23,561.356,6.63,3721.79028,01-10-2014
101010101033,23,561.356,6.63,3721.79028,01-10-2014
101010101034,23,325.027,6.63,2154.92901,01-10-2014
101010101035,23,325.027,6.63,2154.92901,01-10-2014
101010101036,23,325.027,6.63,2154.92901,01-10-2014
101010101037,23,683.0873,6.63,4528.868799,01-10-2014
101010101038,23,683.0873,6.63,4528.868799,01-10-2014
101010101039,23,683.0873,6.63,4528.868799,01-10-2014
101010101040,23,683.0873,6.63,4528.868799,01-10-2014
101010101041,23,676.0366,6.63,4482.122658,01-10-2014
101010101042,23,676.0366,6.63,4482.122658,01-10-2014
101010101043,23,676.0366,6.63,4482.122658,01-10-2014
101010101044,23,676.0366,6.63,4482.122658,01-10-2014
101010101045,23,676.0366,6.63,4482.122658,01-10-2014
101040104001,23,526.7503,6.63,3492.354489,01-10-2014
101040104002,23,526.7503,6.63,3492.354489,01-10-2014
101040104003,23,526.7503,6.63,3492.354489,01-10-2014
101040104004,23,633.5473,6.63,4200.418599,01-10-2014
101040104005,23,633.5473,6.63,4200.418599,01-10-2014
101040104006,23,633.5473,6.63,4200.418599,01-10-2014
101040104007,23,633.5473,6.63,4200.418599,01-10-2014
101040104008,23,651.5822,6.63,4319.989986,01-10-2014
101040104009,23,651.5822,6.63,4319.989986,01-10-2014
101040104010,23,651.5822,6.63,4319.989986,01-10-2014
101040104011,23,651.5822,6.63,4319.989986,01-10-2014
101040104012,23,528.4015,6.63,3503.301945,01-10-2014
101040104013,23,528.4015,6.63,3503.301945,01-10-2014
101040104014,23,528.4015,6.63,3503.301945,01-10-2014
101040104015,23,528.4015,6.63,3503.301945,01-10-2014
101040104016,23,527.4467,6.63,3496.971621,01-10-2014
101040104017,23,527.4467,6.63,3496.971621,01-10-2014
101040104018,23,527.4467,6.63,3496.971621,01-10-2014
101040104019,23,527.4467,6.63,3496.971621,01-10-2014
101040104020,23,527.4467,6.63,3496.971621,01-10-2014
101060106001,23,90.2607,6.63,598.428441,01-10-2014
101060106002,23,90.2607,6.63,598.428441,01-10-2014
101060106003,23,90.2607,6.63,598.428441,01-10-2014
101060106004,23,90.2607,6.63,598.428441,01-10-2014
101060106005,23,151.9273,6.63,1007.277999,01-10-2014
101060106006,23,151.9273,6.63,1007.277999,01-10-2014
101060106007,23,151.9273,6.63,1007.277999,01-10-2014
101060106008,23,151.9273,6.63,1007.277999,01-10-2014
101060106009,23,115.9387,6.63,768.673581,01-10-2014
101060106010,23,120.2327,6.63,797.142801,01-10-2014
101060106011,23,120.2327,6.63,797.142801,01-10-2014
101060106012,23,120.2327,6.63,797.142801,01-10-2014
101060106013,23,128.5009,6.63,851.960967,01-10-2014
101060106014,23,128.5009,6.63,851.960967,01-10-2014
101060106015,23,128.5009,6.63,851.960967,01-10-2014
101060106016,23,128.5009,6.63,851.960967,01-10-2014
101060106017,23,128.5009,6.63,851.960967,01-10-2014
101060106018,23,305.4935,6.63,2025.421905,01-10-2014
101060106019,23,305.4935,6.63,2025.421905,01-10-2014
101060106020,23,305.4935,6.63,2025.421905,01-10-2014
101060106021,23,305.4935,6.63,2025.421905,01-10-2014
101060106022,23,305.4935,6.63,2025.421905,01-10-2014
101060106023,23,330.1429,6.63,2188.847427,01-10-2014
101060106024,23,330.1429,6.63,2188.847427,01-10-2014
101060106025,23,330.1429,6.63,2188.847427,01-10-2014
101060106026,23,330.1429,6.63,2188.847427,01-10-2014
101060106027,23,330.1429,6.63,2188.847427,01-10-2014
101060106028,23,236.7448,6.63,1569.618024,01-10-2014
101060106029,23,236.7448,6.63,1569.618024,01-10-2014
101060106030,23,236.7448,6.63,1569.618024,01-10-2014
101060106031,23,236.7448,6.63,1569.618024,01-10-2014
101060106032,23,236.7448,6.63,1569.618024,01-10-2014
101060106033,23,349.6457,6.63,2318.150991,01-10-2014
101060106034,23,349.6457,6.63,2318.150991,01-10-2014
101060106035,23,349.6457,6.63,2318.150991,01-10-2014
101060106036,23,349.6457,6.63,2318.150991,01-10-2014
101060106037,23,351.3375,6.63,2329.367625,01-10-2014
101060106038,23,351.3375,6.63,2329.367625,01-10-2014
