ProductLabel,CurrencyKey,UnitCost,SCD_EffectiveDate
101001,1,6.8186,01-10-2012
101002,1,6.8186,01-10-2012
101003,1,7.622,01-10-2012
101004,1,11.33,01-10-2012
101005,1,11.33,01-10-2012
101006,1,11.33,01-10-2012
101007,1,11.33,01-10-2012
101008,1,31.4974,01-10-2012
101009,1,31.4974,01-10-2012
101010,1,31.4974,01-10-2012
101011,1,31.4974,01-10-2012
101012,1,36.7916,01-10-2012
101013,1,36.7916,01-10-2012
101014,1,36.7916,01-10-2012
101015,1,36.7916,01-10-2012
101016,1,50.56,01-10-2012
101017,1,50.56,01-10-2012
101018,1,50.56,01-10-2012
101019,1,50.56,01-10-2012
101020,1,61.62,01-10-2012
101021,1,61.62,01-10-2012
101022,1,61.62,01-10-2012
101023,1,61.62,01-10-2012
101029,1,84.49,01-10-2012
101030,1,84.49,01-10-2012
101031,1,84.49,01-10-2012
101032,1,84.49,01-10-2012
101033,1,84.49,01-10-2012
101034,1,48.92,01-10-2012
101035,1,48.92,01-10-2012
101036,1,48.92,01-10-2012
101037,1,102.1142,01-10-2012
101038,1,102.1142,01-10-2012
101039,1,102.1142,01-10-2012
101040,1,102.1142,01-10-2012
104001,1,78.7435,01-10-2012
104002,1,78.7435,01-10-2012
104003,1,78.7435,01-10-2012
104004,1,94.7085,01-10-2012
104005,1,94.7085,01-10-2012
104006,1,94.7085,01-10-2012
104007,1,94.7085,01-10-2012
104008,1,98.07,01-10-2012
104009,1,98.07,01-10-2012
104010,1,98.07,01-10-2012
104011,1,98.07,01-10-2012
104012,1,79.53,01-10-2012
104013,1,79.53,01-10-2012
104014,1,79.53,01-10-2012
104015,1,79.53,01-10-2012
106001,1,13.493,01-10-2012
106002,1,13.493,01-10-2012
106003,1,13.493,01-10-2012
106004,1,13.493,01-10-2012
106005,1,22.7115,01-10-2012
106006,1,22.7115,01-10-2012
106007,1,22.7115,01-10-2012
106008,1,22.7115,01-10-2012
106009,1,17.45,01-10-2012
106010,1,17.9735,01-10-2012
106011,1,17.9735,01-10-2012
106012,1,17.9735,01-10-2012
106013,1,19.2095,01-10-2012
106014,1,19.2095,01-10-2012
106015,1,19.2095,01-10-2012
106016,1,19.2095,01-10-2012
106017,1,19.2095,01-10-2012
106018,1,45.98,01-10-2012
106019,1,45.98,01-10-2012
106020,1,45.98,01-10-2012
106021,1,45.98,01-10-2012
106022,1,45.98,01-10-2012
106023,1,49.69,01-10-2012
106024,1,49.69,01-10-2012
106025,1,49.69,01-10-2012
106026,1,49.69,01-10-2012
106027,1,49.69,01-10-2012
106028,1,35.3908,01-10-2012
106029,1,35.3908,01-10-2012
106030,1,35.3908,01-10-2012
106031,1,35.3908,01-10-2012
106032,1,35.3908,01-10-2012
106037,1,52.88,01-10-2012
106038,1,52.88,01-10-2012
106039,1,52.88,01-10-2012
106040,1,52.88,01-10-2012
106046,1,82.83,01-10-2012
106047,1,82.83,01-10-2012
106048,1,82.83,01-10-2012
106049,1,82.83,01-10-2012
106050,1,82.83,01-10-2012
201001,1,89.2701,01-10-2012
201002,1,89.2701,01-10-2012
201003,1,89.2701,01-10-2012
201004,1,63.0051,01-10-2012
201005,1,63.0051,01-10-2012
201006,1,63.0051,01-10-2012
201007,1,132.6228,01-10-2012
201008,1,132.6228,01-10-2012
201009,1,132.6228,01-10-2012
201010,1,75.3033,01-10-2012
201011,1,75.3033,01-10-2012
201012,1,75.3033,01-10-2012
201013,1,75.3033,01-10-2012
201014,1,105.0291,01-10-2012
201015,1,105.0291,01-10-2012
201016,1,105.0291,01-10-2012
