ProductLabel,CurrencyKey,UnitCost,SCD_EffectiveDate
101001,1,6.62,01-01-2012
101002,1,6.62,01-01-2012
101003,1,7.4,01-01-2012
101004,1,11,01-01-2012
101005,1,11,01-01-2012
101006,1,11,01-01-2012
101007,1,11,01-01-2012
101008,1,30.58,01-01-2012
101009,1,30.58,01-01-2012
101010,1,30.58,01-01-2012
101011,1,30.58,01-01-2012
101012,1,35.72,01-01-2012
101013,1,35.72,01-01-2012
101014,1,35.72,01-01-2012
101015,1,35.72,01-01-2012
101037,1,99.14,01-01-2012
101038,1,99.14,01-01-2012
101039,1,99.14,01-01-2012
101040,1,99.14,01-01-2012
104001,1,76.45,01-01-2012
104002,1,76.45,01-01-2012
104003,1,76.45,01-01-2012
104004,1,91.95,01-01-2012
104005,1,91.95,01-01-2012
104006,1,91.95,01-01-2012
104007,1,91.95,01-01-2012
106001,1,13.1,01-01-2012
106002,1,13.1,01-01-2012
106003,1,13.1,01-01-2012
106004,1,13.1,01-01-2012
106005,1,22.05,01-01-2012
106006,1,22.05,01-01-2012
106007,1,22.05,01-01-2012
106008,1,22.05,01-01-2012
106010,1,17.45,01-01-2012
106011,1,17.45,01-01-2012
106012,1,17.45,01-01-2012
106013,1,18.65,01-01-2012
106014,1,18.65,01-01-2012
106015,1,18.65,01-01-2012
106016,1,18.65,01-01-2012
106017,1,18.65,01-01-2012
106028,1,34.36,01-01-2012
106029,1,34.36,01-01-2012
106030,1,34.36,01-01-2012
106031,1,34.36,01-01-2012
106032,1,34.36,01-01-2012
201001,1,86.67,01-01-2012
201002,1,86.67,01-01-2012
201003,1,86.67,01-01-2012
201004,1,61.17,01-01-2012
201005,1,61.17,01-01-2012
201006,1,61.17,01-01-2012
201007,1,128.76,01-01-2012
201008,1,128.76,01-01-2012
201009,1,128.76,01-01-2012
201010,1,73.11,01-01-2012
201011,1,73.11,01-01-2012
201012,1,73.11,01-01-2012
201013,1,73.11,01-01-2012
201014,1,101.97,01-01-2012
201015,1,101.97,01-01-2012
201016,1,101.97,01-01-2012
201017,1,101.97,01-01-2012
201018,1,160.93,01-01-2012
201019,1,160.93,01-01-2012
201020,1,160.93,01-01-2012
201021,1,160.93,01-01-2012
201038,1,216.12,01-01-2012
201039,1,216.12,01-01-2012
201040,1,216.12,01-01-2012
201041,1,216.12,01-01-2012
201050,1,389.26,01-01-2012
202002,1,35.18,01-01-2012
202003,1,59.32,01-01-2012
202004,1,54.72,01-01-2012
202005,1,50.13,01-01-2012
202008,1,45.83,01-01-2012
202011,1,58.36,01-01-2012
202012,1,29.01,01-01-2012
202013,1,33.65,01-01-2012
202015,1,35.18,01-01-2012
202016,1,59.32,01-01-2012
202017,1,54.72,01-01-2012
202018,1,50.13,01-01-2012
202021,1,45.83,01-01-2012
202024,1,58.36,01-01-2012
202025,1,29.01,01-01-2012
202026,1,33.65,01-01-2012
203002,1,321.44,01-01-2012
203003,1,152.44,01-01-2012
203005,1,137.6,01-01-2012
203006,1,152.9,01-01-2012
203011,1,316.85,01-01-2012
203015,1,261.66,01-01-2012
203016,1,266.26,01-01-2012
203018,1,321.44,01-01-2012
203019,1,152.44,01-01-2012
203021,1,137.6,01-01-2012
203022,1,152.9,01-01-2012
203027,1,316.85,01-01-2012
203031,1,261.66,01-01-2012
203032,1,266.26,01-01-2012
203034,1,321.44,01-01-2012
203035,1,152.44,01-01-2012
203037,1,137.6,01-01-2012
203038,1,152.9,01-01-2012
203043,1,316.85,01-01-2012
203047,1,261.66,01-01-2012
203048,1,266.26,01-01-2012
203049,1,152.44,01-01-2012
203050,1,167.73,01-01-2012
203051,1,294.54,01-01-2012
203052,1,208.52,01-01-2012
203053,1,197.28,01-01-2012
203055,1,167.73,01-01-2012
203057,1,183.49,01-01-2012
203058,1,101.46,01-01-2012
203060,1,244.72,01-01-2012
203062,1,152.44,01-01-2012
203063,1,167.73,01-01-2012
203064,1,294.54,01-01-2012
203065,1,208.52,01-01-2012
203066,1,197.28,01-01-2012
203068,1,167.73,01-01-2012
203070,1,183.49,01-01-2012
203071,1,101.46,01-01-2012
203073,1,244.72,01-01-2012
203075,1,152.44,01-01-2012
203076,1,167.73,01-01-2012
203077,1,294.54,01-01-2012
203078,1,208.52,01-01-2012
203079,1,197.28,01-01-2012
203081,1,167.73,01-01-2012
203083,1,183.49,01-01-2012
203084,1,101.46,01-01-2012
203086,1,244.72,01-01-2012
203088,1,152.44,01-01-2012
203089,1,167.73,01-01-2012
203090,1,294.54,01-01-2012
203091,1,208.52,01-01-2012
203092,1,197.28,01-01-2012
203094,1,167.73,01-01-2012
203096,1,183.49,01-01-2012
203097,1,101.46,01-01-2012
203099,1,244.72,01-01-2012
205001,1,229.93,01-01-2012
205002,1,229.47,01-01-2012
205003,1,152.44,01-01-2012
205004,1,142.24,01-01-2012
205005,1,132.05,01-01-2012
205006,1,137.14,01-01-2012
205007,1,157.54,01-01-2012
205008,1,101.46,01-01-2012
205009,1,111.65,01-01-2012
205010,1,162.64,01-01-2012
205013,1,321.44,01-01-2012
205014,1,151.3,01-01-2012
205015,1,169.69,01-01-2012
205016,1,169.69,01-01-2012
205017,1,229.93,01-01-2012
205018,1,229.47,01-01-2012
205019,1,152.44,01-01-2012
205020,1,142.24,01-01-2012
205021,1,132.05,01-01-2012
205022,1,137.14,01-01-2012
205023,1,157.54,01-01-2012
205024,1,101.46,01-01-2012
205025,1,111.65,01-01-2012
205026,1,162.64,01-01-2012
205029,1,321.44,01-01-2012
205030,1,151.3,01-01-2012
205031,1,169.69,01-01-2012
205032,1,169.69,01-01-2012
205033,1,229.93,01-01-2012
205034,1,229.47,01-01-2012
205035,1,152.44,01-01-2012
205036,1,142.24,01-01-2012
205037,1,132.05,01-01-2012
205038,1,137.14,01-01-2012
205039,1,157.54,01-01-2012
205040,1,101.46,01-01-2012
205041,1,111.65,01-01-2012
205042,1,162.64,01-01-2012
205045,1,321.44,01-01-2012
205046,1,151.3,01-01-2012
301001,1,397.25,01-01-2012
301002,1,404.63,01-01-2012
301003,1,376.63,01-01-2012
301004,1,444.69,01-01-2012
301005,1,275.46,01-01-2012
301006,1,364.12,01-01-2012
301007,1,186.6,01-01-2012
301008,1,321.44,01-01-2012
301009,1,303.05,01-01-2012
301010,1,269.48,01-01-2012
301011,1,348.58,01-01-2012
301012,1,195.26,01-01-2012
301013,1,203.42,01-01-2012
301014,1,171.3,01-01-2012
301015,1,163.15,01-01-2012
301016,1,196.23,01-01-2012
301017,1,195.24,01-01-2012
301018,1,185.32,01-01-2012
301019,1,210.11,01-01-2012
301020,1,168.24,01-01-2012
301021,1,166.2,01-01-2012
301022,1,187.62,01-01-2012
301023,1,193.74,01-01-2012
301024,1,198.32,01-01-2012
301025,1,430.38,01-01-2012
301026,1,321.44,01-01-2012
301027,1,195.24,01-01-2012
301028,1,275.46,01-01-2012
301029,1,348.58,01-01-2012
301030,1,166.2,01-01-2012
301031,1,430.38,01-01-2012
301032,1,321.44,01-01-2012
301033,1,195.24,01-01-2012
301034,1,275.46,01-01-2012
301035,1,348.58,01-01-2012
301036,1,166.2,01-01-2012
301037,1,430.38,01-01-2012
301038,1,321.44,01-01-2012
301039,1,195.24,01-01-2012
301040,1,275.46,01-01-2012
301041,1,348.58,01-01-2012
301042,1,166.2,01-01-2012
301043,1,430.38,01-01-2012
301044,1,321.44,01-01-2012
301045,1,195.24,01-01-2012
301046,1,275.46,01-01-2012
301047,1,348.58,01-01-2012
301048,1,166.2,01-01-2012
301049,1,430.38,01-01-2012
301050,1,321.44,01-01-2012
301051,1,195.24,01-01-2012
301052,1,275.46,01-01-2012
301053,1,430.38,01-01-2012
301054,1,321.44,01-01-2012
301055,1,195.24,01-01-2012
301056,1,275.46,01-01-2012
301057,1,348.58,01-01-2012
301058,1,166.2,01-01-2012
301059,1,430.38,01-01-2012
301060,1,321.44,01-01-2012
301061,1,195.24,01-01-2012
301062,1,275.46,01-01-2012
301063,1,348.58,01-01-2012
301064,1,166.2,01-01-2012
301065,1,430.38,01-01-2012
301066,1,321.44,01-01-2012
301067,1,430.38,01-01-2012
301068,1,321.44,01-01-2012
301069,1,195.24,01-01-2012
301070,1,275.46,01-01-2012
301071,1,348.58,01-01-2012
301072,1,166.2,01-01-2012
301073,1,430.38,01-01-2012
301074,1,321.44,01-01-2012
301075,1,195.24,01-01-2012
301076,1,275.46,01-01-2012
301077,1,348.58,01-01-2012
301078,1,166.2,01-01-2012
303003,1,137.63,01-01-2012
303004,1,188.13,01-01-2012
303005,1,254.86,01-01-2012
303006,1,215.68,01-01-2012
303009,1,137.63,01-01-2012
303010,1,188.13,01-01-2012
303011,1,254.86,01-01-2012
303012,1,215.68,01-01-2012
303015,1,137.63,01-01-2012
303016,1,188.13,01-01-2012
303017,1,254.86,01-01-2012
303020,1,137.63,01-01-2012
303021,1,188.13,01-01-2012
303022,1,254.86,01-01-2012
303025,1,112.14,01-01-2012
303026,1,117.21,01-01-2012
303027,1,137.6,01-01-2012
303028,1,160.49,01-01-2012
303031,1,112.14,01-01-2012
303032,1,117.21,01-01-2012
303033,1,137.6,01-01-2012
303034,1,160.49,01-01-2012
303037,1,112.14,01-01-2012
303038,1,117.21,01-01-2012
303039,1,137.6,01-01-2012
303042,1,112.14,01-01-2012
303043,1,117.21,01-01-2012
303044,1,137.6,01-01-2012
303045,1,152.9,01-01-2012
304007,1,63.92,01-01-2012
304008,1,82.32,01-01-2012
304009,1,50.47,01-01-2012
304010,1,65.77,01-01-2012
304011,1,50.47,01-01-2012
304012,1,35.18,01-01-2012
304013,1,30.08,01-01-2012
304014,1,24.98,01-01-2012
304021,1,63.92,01-01-2012
304022,1,82.32,01-01-2012
304023,1,50.47,01-01-2012
304024,1,65.77,01-01-2012
304025,1,50.47,01-01-2012
304026,1,35.18,01-01-2012
304027,1,30.08,01-01-2012
304028,1,24.98,01-01-2012
304030,1,287.92,01-01-2012
304035,1,70.87,01-01-2012
304036,1,82.32,01-01-2012
304037,1,50.47,01-01-2012
304038,1,65.77,01-01-2012
304039,1,50.47,01-01-2012
304040,1,22.86,01-01-2012
304041,1,30.08,01-01-2012
304042,1,29.82,01-01-2012
304044,1,287.92,01-01-2012
304049,1,70.87,01-01-2012
304050,1,82.32,01-01-2012
304051,1,50.47,01-01-2012
304052,1,65.77,01-01-2012
304053,1,50.47,01-01-2012
304054,1,22.86,01-01-2012
304055,1,30.08,01-01-2012
304056,1,29.82,01-01-2012
304057,1,271.35,01-01-2012
304063,1,70.87,01-01-2012
304064,1,82.32,01-01-2012
